,original_ref,rxn_ref,retro_template,count
330,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[c:5])>>([C:1]=[CH2:2]).(Br-[c:3](:[c:4]):[c:5]),13471
331,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[n:5])>>([C:1]=[CH2:2]).(Cl-[c:3](:[c:4]):[n:5]),3583
332,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[c:5])>>([C:1]=[CH2:2]).(I-[c:3](:[c:4]):[c:5]),1508
333,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[n:5])>>([C:1]=[CH2:2]).(Br-[c:3](:[c:4]):[n:5]),982
334,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[s:5])>>([C:1]=[CH2:2]).(Cl-[c:3](:[c:4]):[s:5]),419
335,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[s:5])>>([C:1]=[CH2:2]).(Br-[c:3](:[c:4]):[s:5]),339
336,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[n:5])>>([C:1]=[CH2:2]).(I-[c:3](:[c:4]):[n:5]),165
337,R40,R36,([C:1]=[CH:2]/[c:3](:[c:4]):[o:5])>>([C:1]=[CH2:2]).(Br-[c:3](:[c:4]):[o:5]),120
338,R40,R36,([C:4]=[C:3](-[C:5])/[CH:2]=[C:1])>>([C:1]=[CH2:2]).(Br-[C:3](=[C:4])-[C:5]),61
339,R40,R36,([C:1]=[CH:2]/[C:3](-[C:4])=[C:5])>>([C:1]=[CH2:2]).(Cl-[C:3](-[C:4])=[C:5]),60
340,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[c:3]).(Cl-[c:4](:[c:5]):[c:6]),11692
341,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[C:3]).(Cl-[c:4](:[c:5]):[c:6]),8962
342,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]-[CH:2]=[C:3]).(Cl-[c:4](:[c:5]):[c:6]),8207
343,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[c:3]).(Br-[c:4](:[c:5]):[c:6]),6110
344,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[C:3]).(Br-[c:4](:[c:5]):[c:6]),5033
345,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]-[CH:2]=[C:3]).(Br-[c:4](:[c:5]):[c:6]),4398
346,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[c:3]).(Cl-[c:4](:[c:5]):[n:6]),1783
347,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[C:3]).(Cl-[c:4](:[c:5]):[n:6]),1594
348,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[n:6])>>([C:1]-[CH:2]=[C:3]).(Cl-[c:4](:[c:5]):[n:6]),1333
349,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[c:3]).(I-[c:4](:[c:5]):[c:6]),768
350,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]=[CH:2]-[C:3]).(I-[c:4](:[c:5]):[c:6]),597
351,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[c:6])>>([C:1]-[CH:2]=[C:3]).(I-[c:4](:[c:5]):[c:6]),545
352,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[c:3]).(Br-[c:4](:[c:5]):[n:6]),519
353,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[C:3]).(Br-[c:4](:[c:5]):[n:6]),434
354,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[n:6])>>([C:1]-[CH:2]=[C:3]).(Br-[c:4](:[c:5]):[n:6]),397
355,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[s:6])>>([C:1]=[CH:2]-[c:3]).(Cl-[c:4](:[c:5]):[s:6]),203
356,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[s:6])>>([C:1]=[CH:2]-[C:3]).(Br-[c:4](:[c:5]):[s:6]),189
357,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[s:6])>>([C:1]=[CH:2]-[c:3]).(Br-[c:4](:[c:5]):[s:6]),180
358,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[s:6])>>([C:1]=[CH:2]-[C:3]).(Cl-[c:4](:[c:5]):[s:6]),149
359,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[s:6])>>([C:1]-[CH:2]=[C:3]).(Cl-[c:4](:[c:5]):[s:6]),140
360,R41,R37,([C:1]-[C:2](=[C:3])-[c:4](:[c:5]):[s:6])>>([C:1]-[CH:2]=[C:3]).(Br-[c:4](:[c:5]):[s:6]),98
361,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[c:3]).(I-[c:4](:[c:5]):[n:6]),78
362,R41,R37,([C:1]=[C:2](-[c:3])-[c:4](:[c:5]):[o:6])>>([C:1]=[CH:2]-[c:3]).(Br-[c:4](:[c:5]):[o:6]),67
363,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[n:6])>>([C:1]=[CH:2]-[C:3]).(I-[c:4](:[c:5]):[n:6]),64
364,R41,R37,([C:1]=[C:2](-[C:3])-[c:4](:[c:5]):[o:6])>>([C:1]=[CH:2]-[C:3]).(Br-[c:4](:[c:5]):[o:6]),62
365,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),14208
366,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),9070
367,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[n:6]),2345
368,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[c:6]),1680
369,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[c:6]),1510
370,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(Br-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[c:6]),1077
371,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Br-[c:4](:[c:5]):[c:6]),1024
372,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(I-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[c:6]),940
373,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[n:6]),830
374,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[n:5]):[n:6]),793
375,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[s:3])>>(Br-[c:1](:[c:2]):[s:3]).(Cl-[c:4](:[c:5]):[c:6]),530
376,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[n:5]):[s:6]),429
377,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[s:3])>>(Br-[c:1](:[c:2]):[s:3]).(Br-[c:4](:[c:5]):[c:6]),315
378,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[s:6]),283
379,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[s:6]),266
380,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(I-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[c:6]),251
381,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[c:5]):[n:6]),244
382,R42,R38,([c:5]:[c:4](:[n:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[c:5]):[n:6]),235
383,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(I-[c:1](:[c:2]):[n:3]).(Br-[c:4](:[c:5]):[c:6]),183
384,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[n:5]):[n:6]),169
385,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[s:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[n:5]):[s:6]),154
386,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[o:3])>>(Br-[c:1](:[c:2]):[o:3]).(Cl-[c:4](:[c:5]):[c:6]),134
387,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(I-[c:4](:[c:5]):[c:6]),129
388,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[n:6])>>(Br-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[n:6]),113
389,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[c:6])>>(I-[c:1](:[c:2]):[c:3]).(I-[c:4](:[c:5]):[c:6]),105
390,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[o:3])>>(Br-[c:1](:[c:2]):[o:3]).(Br-[c:4](:[c:5]):[c:6]),98
391,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[c:5]):[o:6])>>(Br-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[o:6]),91
392,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[n:6])>>(I-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[n:5]):[n:6]),81
393,R42,R38,([c:5]:[c:4](:[n:6])-[c:1](:[c:2]):[c:3])>>(I-[c:1](:[c:2]):[c:3]).(Br-[c:4](:[c:5]):[n:6]),78
394,R42,R38,([c:5]:[c:4](:[n:6])-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).(Br-[c:4](:[c:5]):[n:6]),76
395,R42,R38,([c:5]:[c:4](:[c:6])-[c:1](:[c:2]):[s:3])>>(I-[c:1](:[c:2]):[s:3]).(Cl-[c:4](:[c:5]):[c:6]),76
396,R42,R38,([C:2]=[C:1](-[C:3])-[c:4](:[c:5]):[c:6])>>(Br-[C:1](=[C:2])-[C:3]).(Cl-[c:4](:[c:5]):[c:6]),71
397,R42,R38,([c:2]:[c:1](:[n:3])-[c:4](:[n:5]):[n:6])>>(Br-[c:1](:[c:2]):[n:3]).(Cl-[c:4](:[n:5]):[n:6]),69
398,R42,R38,([c:5]:[c:4](:[n:6])-[c:1](:[c:2]):[s:3])>>(Br-[c:1](:[c:2]):[s:3]).(Cl-[c:4](:[c:5]):[n:6]),69
399,R42,R38,([c:2]:[c:1](:[c:3])-[c:4](:[n:5]):[o:6])>>(Br-[c:1](:[c:2]):[c:3]).(Cl-[c:4](:[n:5]):[o:6]),65
400,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[c:2]).(Cl-[c:3](:[c:4]):[c:5]),15010
401,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[C:2]).(Cl-[c:3](:[c:4]):[c:5]),14143
402,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[c:2]).(Br-[c:3](:[c:4]):[c:5]),8638
403,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[C:2]).(Br-[c:3](:[c:4]):[c:5]),7688
404,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[c:2]).(Cl-[c:3](:[c:4]):[n:5]),2612
405,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[C:2]).(Cl-[c:3](:[c:4]):[n:5]),2213
406,R43,R39,(O=[C:1](-[c:2])-[CH2:3]-[C:4])>>(N#[C:1]-[c:2]).(Cl-[CH2:3]-[C:4]),1850
407,R43,R39,(O=[C:1](-[C:2])-[CH2:3]-[C:4])>>(N#[C:1]-[C:2]).(Cl-[CH2:3]-[C:4]),1638
408,R43,R39,(O=[C:1](-[c:2])-[CH2:3]-[c:4])>>(N#[C:1]-[c:2]).(Cl-[CH2:3]-[c:4]),1165
409,R43,R39,(O=[C:1](-[c:2])-[CH2:3]-[C:4])>>(N#[C:1]-[c:2]).(Br-[CH2:3]-[C:4]),1130
410,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[c:2]).(I-[c:3](:[c:4]):[c:5]),1065
411,R43,R39,(O=[C:1](-[C:2])-[CH2:3]-[C:4])>>(N#[C:1]-[C:2]).(Br-[CH2:3]-[C:4]),973
412,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[c:5])>>(N#[C:1]-[C:2]).(I-[c:3](:[c:4]):[c:5]),954
413,R43,R39,(O=[C:1](-[C:2])-[CH2:3]-[c:4])>>(N#[C:1]-[C:2]).(Cl-[CH2:3]-[c:4]),907
414,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[c:2]).(Br-[c:3](:[c:4]):[n:5]),771
415,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[C:2]).(Br-[c:3](:[c:4]):[n:5]),680
416,R43,R39,(O=[C:1](-[c:2])-[CH:3](-[C:4])-[C:5])>>(N#[C:1]-[c:2]).(Br-[CH:3](-[C:4])-[C:5]),600
417,R43,R39,(O=[C:1](-[C:2])-[CH:3](-[C:4])-[C:5])>>(N#[C:1]-[C:2]).(Br-[CH:3](-[C:4])-[C:5]),563
418,R43,R39,(O=[C:1](-[c:2])-[CH:3](-[C:4])-[C:5])>>(N#[C:1]-[c:2]).(Cl-[CH:3](-[C:4])-[C:5]),503
419,R43,R39,(O=[C:1](-[c:2])-[CH2:3]-[c:4])>>(N#[C:1]-[c:2]).(Br-[CH2:3]-[c:4]),502
420,R43,R39,(O=[C:1](-[C:2])-[CH:3](-[C:4])-[C:5])>>(N#[C:1]-[C:2]).(Cl-[CH:3](-[C:4])-[C:5]),492
421,R43,R39,(O=[C:1](-[C:2])-[CH2:3]-[c:4])>>(N#[C:1]-[C:2]).(Br-[CH2:3]-[c:4]),469
422,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[C:6])>>(N#[C:1]-[C:2]).(Br-[C:3](-[C:4])(-[C:5])-[C:6]),421
423,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[C:6])>>(N#[C:1]-[c:2]).(Br-[C:3](-[C:4])(-[C:5])-[C:6]),340
424,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[s:5])>>(N#[C:1]-[c:2]).(Cl-[c:3](:[c:4]):[s:5]),260
425,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[s:5])>>(N#[C:1]-[c:2]).(Br-[c:3](:[c:4]):[s:5]),260
426,R43,R39,(O=[C:1](-[c:2])-[CH:3](-[C:4])-[c:5])>>(N#[C:1]-[c:2]).(Br-[CH:3](-[C:4])-[c:5]),230
427,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[s:5])>>(N#[C:1]-[C:2]).(Cl-[c:3](:[c:4]):[s:5]),227
428,R43,R39,(O=[C:1](-[C:2])-[CH:3](-[C:4])-[c:5])>>(N#[C:1]-[C:2]).(Br-[CH:3](-[C:4])-[c:5]),226
429,R43,R39,(O=[C:1](-[C:2])-[CH:3](-[C:4])-[c:5])>>(N#[C:1]-[C:2]).(Cl-[CH:3](-[C:4])-[c:5]),226
430,R43,R39,(O=[C:1](-[c:2])-[CH:3](-[C:4])-[c:5])>>(N#[C:1]-[c:2]).(Cl-[CH:3](-[C:4])-[c:5]),224
431,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[s:5])>>(N#[C:1]-[C:2]).(Br-[c:3](:[c:4]):[s:5]),219
432,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[c:6])>>(N#[C:1]-[C:2]).(Cl-[C:3](-[C:4])(-[C:5])-[c:6]),202
433,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[C:6])>>(N#[C:1]-[C:2]).(Cl-[C:3](-[C:4])(-[C:5])-[C:6]),202
434,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[c:6])>>(N#[C:1]-[c:2]).(Cl-[C:3](-[C:4])(-[C:5])-[c:6]),199
435,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[C:6])>>(N#[C:1]-[c:2]).(Cl-[C:3](-[C:4])(-[C:5])-[C:6]),175
436,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[c:6])>>(N#[C:1]-[C:2]).(Br-[C:3](-[C:4])(-[C:5])-[c:6]),160
437,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[c:6])>>(N#[C:1]-[c:2]).(Br-[C:3](-[C:4])(-[C:5])-[c:6]),152
438,R43,R39,(O=[C:1](-[c:2])-[CH2:3]-[C:4])>>(N#[C:1]-[c:2]).(I-[CH2:3]-[C:4]),149
439,R43,R39,(O=[C:1](-[C:2])-[CH2:3]-[C:4])>>(N#[C:1]-[C:2]).(I-[CH2:3]-[C:4]),139
440,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[N:6])>>(N#[C:1]-[C:2]).(Br-[C:3](-[C:4])(-[C:5])-[N:6]),134
441,R43,R39,(O=[C:1](-[C:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[C:2]).(I-[c:3](:[c:4]):[n:5]),116
442,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[n:5])>>(N#[C:1]-[c:2]).(I-[c:3](:[c:4]):[n:5]),115
443,R43,R39,(O=[C:1](-[C:2])-[C:3](-[C:4])(-[C:5])-[N:6])>>(N#[C:1]-[C:2]).(Cl-[C:3](-[C:4])(-[C:5])-[N:6]),115
444,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[N:6])>>(N#[C:1]-[c:2]).(Br-[C:3](-[C:4])(-[C:5])-[N:6]),108
445,R43,R39,(O=[C:1](-[c:2])-[C:3](-[C:4])(-[C:5])-[N:6])>>(N#[C:1]-[c:2]).(Cl-[C:3](-[C:4])(-[C:5])-[N:6]),105
446,R43,R39,(O=[C:1](-[c:2])-[c:3](:[c:4]):[o:5])>>(N#[C:1]-[c:2]).(Br-[c:3](:[c:4]):[o:5]),85
447,R44,R40,([OH:2]-[C:1]-[c:3])>>([C:1]=[O:2]).(Cl-[c:3]),32812
448,R44,R40,([OH:2]-[C:1]-[c:3])>>([C:1]=[O:2]).(Br-[c:3]),19377
449,R44,R40,([OH:2]-[CH:1]-[c:3])>>([CH:1]=[O:2]).(Cl-[c:3]),12870
450,R44,R40,([OH:2]-[CH:1]-[c:3])>>([CH:1]=[O:2]).(Br-[c:3]),6600
451,R44,R40,([CH2:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Cl-[CH2:3]),6140
452,R44,R40,([CH2:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Br-[CH2:3]),3472
453,R44,R40,([OH:2]-[C:1]-[c:3])>>([C:1]=[O:2]).(I-[c:3]),2417
454,R44,R40,([CH2:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Cl-[CH2:3]),2032
455,R44,R40,([CH:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Br-[CH:3]),1883
456,R44,R40,([CH:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Cl-[CH:3]),1653
457,R44,R40,([C:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Br-[C:3]),1332
458,R44,R40,([C:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(Cl-[C:3]),1209
459,R44,R40,([CH2:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Br-[CH2:3]),1165
460,R44,R40,([OH:2]-[CH:1]-[c:3])>>([CH:1]=[O:2]).(I-[c:3]),902
461,R44,R40,([CH:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Br-[CH:3]),731
462,R44,R40,([CH:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Cl-[CH:3]),714
463,R44,R40,([C:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Br-[C:3]),705
464,R44,R40,([C:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(Cl-[C:3]),690
465,R44,R40,([CH2:3]-[C:1]-[OH:2])>>([C:1]=[O:2]).(I-[CH2:3]),423
466,R44,R40,([CH2:3]-[CH:1]-[OH:2])>>([CH:1]=[O:2]).(I-[CH2:3]),125
467,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[c:3])>>(Br-[c:1](:[c:2]):[c:3]).([C:4]#[CH:5]),18683
468,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[c:3])>>(I-[c:1](:[c:2]):[c:3]).([C:4]#[CH:5]),2253
469,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[n:3])>>(Br-[c:1](:[c:2]):[n:3]).([C:4]#[CH:5]),1536
470,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[s:3])>>(Br-[c:1](:[c:2]):[s:3]).([C:4]#[CH:5]),550
471,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[n:3])>>(I-[c:1](:[c:2]):[n:3]).([C:4]#[CH:5]),227
472,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[o:3])>>(Br-[c:1](:[c:2]):[o:3]).([C:4]#[CH:5]),189
473,R45,R41,([C:2]=[C:1](-[c:3])-[C:5]#[C:4])>>(Br-[C:1](=[C:2])-[c:3]).([C:4]#[CH:5]),67
474,R45,R41,([C:4]#[C:5]-[c:1](:[c:2]):[s:3])>>(I-[c:1](:[c:2]):[s:3]).([C:4]#[CH:5]),53
475,R45,R41,([C:2]=[C:1](-[C:3])-[C:5]#[C:4])>>(Br-[C:1](=[C:2])-[C:3]).([C:4]#[CH:5]),36
476,R47,R42,([C:5]-[N:6](-[C:7])-[S:1](-[C:2])(=[O:3])=[O:4])>>(Cl-[S:1](-[C:2])(=[O:3])=[O:4]).([C:5]-[NH:6]-[C:7]),15243
477,R47,R42,([C:5]-[NH:6]-[S:1](-[C:2])(=[O:3])=[O:4])>>(Cl-[S:1](-[C:2])(=[O:3])=[O:4]).([C:5]-[NH2:6]),12403
478,R47,R42,([C:5]-[N:6](-[C:7])-[S:1](-[N:2])(=[O:3])=[O:4])>>(Cl-[S:1](-[N:2])(=[O:3])=[O:4]).([C:5]-[NH:6]-[C:7]),742
479,R47,R42,([C:5]-[NH:6]-[S:1](-[N:2])(=[O:3])=[O:4])>>(Cl-[S:1](-[N:2])(=[O:3])=[O:4]).([C:5]-[NH2:6]),632
480,R47,R42,([C:5]-[N:6](-[N:7])-[S:1](-[C:2])(=[O:3])=[O:4])>>(Cl-[S:1](-[C:2])(=[O:3])=[O:4]).([C:5]-[NH:6]-[N:7]),216
481,R48,R43,([c:2]:[c:1](:[c:3])-[n:5](:[c:4]):[c:6])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[c:6]),26205
482,R48,R43,([c:2]:[c:1](:[c:3])-[n:5](:[c:4]):[c:6])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).([c:4]:[nH:5]:[c:6]),12825
483,R48,R43,([c:2]:[c:1](:[c:3])-[n:5](:[c:4]):[n:6])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[c:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[n:6]),5105
484,R48,R43,([c:2]:[c:1](:[c:3])-[n:5](:[c:4]):[n:6])>>(O-B(-O)-[c:1](:[c:2]):[c:3]).([c:4]:[nH:5]:[n:6]),2514
485,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[n:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[n:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[c:6]),2178
486,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[s:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[s:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[c:6]),980
487,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[s:3])>>(O-B(-O)-[c:1](:[c:2]):[s:3]).([c:4]:[nH:5]:[c:6]),624
488,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[o:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[o:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[c:6]),506
489,R48,R43,([c:4]:[n:5](:[n:6])-[c:1](:[c:2]):[n:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[n:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[n:6]),369
490,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[o:3])>>(O-B(-O)-[c:1](:[c:2]):[o:3]).([c:4]:[nH:5]:[c:6]),367
491,R48,R43,([c:4]:[n:5](:[n:6])-[c:1](:[c:2]):[s:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[s:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[n:6]),201
492,R48,R43,([c:4]:[n:5](:[c:6])-[c:1](:[c:2]):[n:3])>>(O-[B-](-O)(-O)-[c:1](:[c:2]):[n:3]).([c:4]:[nH:5]:[c:6]),179
493,R48,R43,([c:4]:[n:5](:[n:6])-[c:1](:[c:2]):[s:3])>>(O-B(-O)-[c:1](:[c:2]):[s:3]).([c:4]:[nH:5]:[n:6]),126
494,R48,R43,([c:4]:[n:5](:[n:6])-[c:1](:[c:2]):[o:3])>>(C-C1(-C)-O-B(-[c:1](:[c:2]):[o:3])-O-C-1(-C)-C).([c:4]:[nH:5]:[n:6]),103
495,R48,R43,([c:2]:[c:1](:[n:3])-[n:5](:[c:4]):[c:6])>>(O-B(-O)-[c:1](:[c:2]):[n:3]).([c:4]:[nH:5]:[c:6]),99
