,original_ref,rxn_ref,retro_template,count
85,R13,R11,([CH2:3]-n1:[c:1]:[c:2]:n:n:1)>>([C:1]#[C:2]).(Br-[CH2:3]),1887
86,R13,R11,([CH:3]-n1:[c:1]:[c:2]:n:n:1)>>([C:1]#[C:2]).(Br-[CH:3]),1172
87,R13,R11,([CH:3]-n1:[c:1]:[c:2]:n:n:1)>>([C:1]#[C:2]).(Cl-[CH:3]),1141
88,R13,R11,([CH2:4]-n1:n:n:[c:1]:[c:2]:1-[c:3])>>([C:1]#[C:2]-[c:3]).(Br-[CH2:4]),1130
89,R13,R11,([CH2:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(O-[CH2:5]),592
90,R13,R11,([CH:4]-n1:n:n:[c:1]:[c:2]:1-[c:3])>>([C:1]#[C:2]-[c:3]).(Br-[CH:4]),540
91,R13,R11,([CH:4]-n1:[c:1]:[c:2](-[c:3]):n:n:1)>>([C:1]#[C:2]-[c:3]).(Cl-[CH:4]),498
92,R13,R11,([CH:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(O-[CH:5]),498
93,R13,R11,([CH2:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(Cl-[CH2:5]),365
94,R13,R11,([CH2:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(Br-[CH2:5]),215
95,R13,R11,([CH2:3]-n1:[c:1]:[c:2]:n:n:1)>>([C:1]#[C:2]).(I-[CH2:3]),184
96,R13,R11,([CH2:4]-n1:n:n:[c:1]:[c:2]:1-[c:3])>>([C:1]#[C:2]-[c:3]).(I-[CH2:4]),165
97,R13,R11,([CH:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(Cl-[CH:5]),93
98,R13,R11,([CH:5]-n1:n:n:[c:3](-[c:4]):[c:2]:1-[c:1])>>([c:1]-[C:2]#[C:3]-[c:4]).(Br-[CH:5]),93
99,R14,R12,([c:3]-[c:2]1:[n:1]:[c:4]:[nH:5]:[n:6]:1)>>([N:1]#[C:2]-[c:3]).(O=[C:4]-[NH:5]-[NH2:6]),8260
100,R14,R12,([c:3]1:[n:2]:[c:1]:[n:5]:[nH:4]:1)>>([C:1]#[N:2]).(O=[C:3]-[NH:4]-[NH2:5]),3098
101,R14,R12,([c:4]-[c:3]1:[n:2]:[c:1]:[n:6]:[nH:5]:1)>>([C:1]#[N:2]).(O=[C:3](-[c:4])-[NH:5]-[NH2:6]),2687
102,R14,R12,([c:5]-[c:4]1:[n:1]:[c:2](-[c:3]):[n:7]:[nH:6]:1)>>([N:1]#[C:2]-[c:3]).(O=[C:4](-[c:5])-[NH:6]-[NH2:7]),2302
